locatie.message.id;locatie.code;locatie.naam;coordinatenstelsel;geometriepunt.x;geometriepunt.y;tijdstip;statuswaarde;bemonsteringshoogte;referentievlak;opdrachtgevendeinstantie;kwaliteitswaarde.code;parameter.wat.omschrijving;bemonsteringsapparaat.code;bemonsteringsapparaat.omschrijving;bemonsteringssoort.code;bemonsteringssoort.omschrijving;biotaxon.code;biotaxon.omschrijving;biotaxontype.code;biotaxontype.omschrijving;compartiment.code;compartiment.omschrijving;eenheid.code;eenheid.omschrijving;grootheid.code;grootheid.omschrijving;typering.code;typering.omschrijving;hoedanigheid.code;hoedanigheid.omschrijving;meetapparaat.code;meetapparaat.omschrijving;orgaan.code;orgaan.omschrijving;parameter.code;parameter.omschrijving;typering.code.1;typering.omschrijving.1;groepering.code;groepering.omschrijving;waardebepalingstechniek.code;waardebepalingstechniek.omschrijving;waardebepalingsmethode.code;waardebepalingsmethode.omschrijving;waardebewerkingsmethode.code;waardebewerkingsmethode.omschrijving;numeriekewaarde;alphanumeriekewaarde
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-07-04T13:15:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.138;+.138E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-07-29T12:34:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.173;+.173E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-08-13T09:18:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.134;+.134E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-08-27T07:49:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.132;+.132E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-09-10T08:31:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.137;+.137E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-10-07T11:38:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.124;+.124E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-11-06T08:47:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.124;+.124E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-12-05T13:12:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.117;+.117E+00
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2019-12-30T11:40:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.0773;+.773E-01
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2020-01-30T11:52:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.0873;+.873E-01
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2020-02-24T12:31:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.0805;+.805E-01
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2020-03-23T11:13:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.0959;+.959E-01
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2020-04-06T10:01:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.0393;+.393E-01
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2020-04-20T13:41:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.0209;+.209E-01
NA;soelekerkepolder.oost;Soelekerkepolder, oost;ETRS89;3.730818;51.542206;2020-05-07T08:45:00.000+01:00;Definitief;-100;WATSGL;RIKZMON_CHEMIE;00;(massa)Concentratie fosfaat in Oppervlaktewater uitgedrukt in fosfor / opgeloste fractie in mg/l;68;Pomp;SB;Steekbemonstering;NVT;NVT;;;OW;Oppervlaktewater;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;NVT;Pnf;uitgedrukt in fosfor / opgeloste fractie;8000;NVT;NVT;NVT;PO4;fosfaat;NVT;NVT;NA;NA;NA;NA;NA;Nutrienten mbv autoanalyser;NVT;NVT;0.0116;+.116E-01
