AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving;parametergroep
291;(massa)Concentratie beta-endosulfan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;bedsfn;beta-endosulfan;contaminants
17;(massa)Concentratie benzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Ben;benzeen;contaminants
65;(massa)Concentratie bentazon in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;bentzn;bentazon;contaminants
358;(massa)Concentratie benzo(ghi)peryleen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;BghiPe;benzo(ghi)peryleen;contaminants
434;(massa)Concentratie beta-hexachloorcyclohexaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;bHCH;beta-hexachloorcyclohexaan;contaminants
404;(massa)Concentratie bifenyl in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;biFy;bifenyl;contaminants
359;(massa)Concentratie benzo(k)fluorantheen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;BkF;benzo(k)fluorantheen;contaminants
435;(massa)Concentratie Biochemisch zuurstofverbruik met allylthioureum in Oppervlaktewater mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;BZV5a;Biochemisch zuurstofverbruik met allylthioureum;eutrophication
341;(massa)Concentratie methylazinfos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C1yazfs;methylazinfos;contaminants
264;(massa)Concentratie methyl-metsulfuron in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C1ymsfrn;methyl-metsulfuron;contaminants
280;(massa)Concentratie methyloxydemeton in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C1yOxdmtn;methyloxydemeton;contaminants
242;(massa)Concentratie methylpirimifos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C1yprmfs;methylpirimifos;contaminants
401;(massa)Concentratie methylparathion in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C1yprton;methylparathion;contaminants
342;(massa)Concentratie ethylazinfos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C2yazfs;ethylazinfos;contaminants
234;(massa)Concentratie ethylbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C2yBen;ethylbenzeen;contaminants
272;(massa)Concentratie ethylchloorpyrifos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C2yClprfs;ethylchloorpyrifos;contaminants
8;(massa)Concentratie ethylparathion in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;C2yprton;ethylparathion;contaminants
163;(massa)Concentratie captan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;captn;captan;contaminants
46;(massa)Concentratie carbendazim in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;carbdzm;carbendazim;contaminants
